State,State Tax Rate [%],Total Gen Costs [mills/kWh],Deprec Costs [mills/kWh],Return on Equity and Debt [mills/kWh],Transmission [mills/kWh],Distribution [mills/kWh],Total Costs [mills/kWh],Total Costs [$/kWh]
Alabama,4.0,41.272971240371106,2.5696381911362405,6.55757874865232,13.14654770315671,27.19379568502572,92.75653909554849,0.9275653909554848
Arizona,5.6,33.37977775144806,4.358982435172903,5.604072826905243,14.626575513832798,32.88000619274456,93.27661336886104,0.9327661336886104
Arkansas,6.5,29.72155967199459,1.769567517028642,2.9139474089977537,15.177837423982028,26.71146331787254,78.53070518874692,0.7853070518874692
California,7.25,28.081675183054784,5.105095229725764,6.922329059376223,21.68539502347554,69.93395397610395,134.63635818346762,1.3463635818346762
Colorado,2.9,27.28556460620901,6.822897462432478,11.408482782281872,15.245542294439419,31.62591321517177,93.70839176121132,0.9370839176121132
Connecticut,6.35,46.8436980877093,2.661792774651201,7.218354911101125,45.27073729043249,73.4432187059949,179.03976597650382,1.7903976597650382
Delaware,0.0,35.48584191384634,0.06759389838906414,9.72050286444342,23.04326774827682,49.93491843695398,118.25212486190962,1.1825212486190961
Florida,6.0,37.70515648683316,4.40044777838155,12.144291989118512,11.4985206151874,31.4240562524789,100.42746689725952,1.0042746689725952
Georgia,4.0,42.20103138030176,2.727887800363477,7.092426670786313,13.557233727983979,28.932430384675243,96.59186379816883,0.9659186379816883
Idaho,6.0,26.807286484685413,6.482667430994045,9.900257538586544,16.25060173563398,32.01533544665144,94.04756132380739,0.9404756132380738
Illinois,6.25,35.42760855974361,3.0127902232574444,6.291556342207161,13.70473366170918,30.70624286044477,91.93867884268768,0.9193867884268768
Indiana,7.0,35.67267502608017,1.6943588452678258,2.8555574909035926,12.5083322254903,29.73638285694995,85.28288784004945,0.8528288784004946
Iowa,6.0,31.093397592920017,5.260906945652092,9.88317333559945,19.393729035168832,28.331510020185036,96.73696560197573,0.9673696560197572
Kansas,6.5,37.65000562619467,3.54151427259189,6.639075159368506,18.02292336173684,32.249570735792645,101.21207783446464,1.0121207783446464
Kentucky,6.0,34.505977528048184,2.2170817469845874,3.9202028703308383,13.010517761207542,24.89906779023823,80.9914434255312,0.8099144342553121
Louisiana,4.45,33.93537065335995,2.28846314449033,3.7392357039845723,15.12198386760226,24.433678723045176,81.29708868531395,0.8129708868531396
Maine,5.5,47.153171922115796,12.732189192339712,27.591243209959504,45.5688434219088,73.9219402722636,211.77860125643025,2.1177860125643027
Maryland,6.0,35.11828503462472,8.580484331756756,14.437655885139474,22.71891507125946,48.93951308924031,133.283038927112,1.33283038927112
Massachusetts,6.25,47.21816668565897,1.9828396567331852,4.741151842464469,45.63165438631297,74.02383244266913,176.96902990039226,1.7696902990039225
Michigan,6.0,35.8067592526382,5.25629675819815,9.571404257427004,19.188968090485403,35.655526274318255,108.51702224916282,1.0851702224916282
Minnesota,6.88,30.99617976157529,2.249683742527189,4.355552275900249,19.42112900743983,28.287810334444078,87.89733252755083,0.8789733252755083
Mississippi,7.0,36.560348012031106,2.2921677915295917,4.79872187120062,13.7312042994877,23.62512671514734,84.06315532662965,0.8406315532662966
Missouri,4.225,37.46780807313314,5.70812544801148,9.935928726047626,14.022999903130108,30.24833393672303,99.62717226698925,0.9962717226698925
Montana,0.0,19.90002628544963,9.460082276570972,15.684700642572938,17.10622214171551,33.512963753990206,95.66399510029925,0.9566399510029925
Nebraska,5.5,29.803407296634173,15.274665971842227,34.25234737878769,14.445626497027003,25.750325080635637,123.88954536052626,1.2388954536052625
Nevada,6.85,28.631200225147136,9.402024396731123,11.887213185574485,16.08300554080419,31.600596983360187,101.02359032142763,1.0102359032142763
New Hampshire,0.0,47.17201532668324,1.9852259288062746,4.745567180292357,45.58705369530648,73.95148104269705,173.4413431737854,1.7344134317378541
New Jersey,6.625,35.199875184625604,0.0672332780383769,9.642181144012588,22.86224689223454,49.547334209507454,120.29411114486089,1.2029411114486088
New Mexico,4.875,31.94712199093864,3.243487337684695,6.588007297590077,14.705566315368369,32.589207071528875,91.11009757363857,0.9111009757363857
New York,4.0,40.11897111202189,1.3098893048698987,16.190125267199697,30.170284826090594,90.29519395351537,180.38922389106114,1.8038922389106113
North Carolina,4.75,42.95005854586502,2.7255382559187065,5.457639827374573,11.20820116530537,29.163119674110472,93.93338620845917,0.9393338620845917
North Dakota,5.0,30.63259764563419,7.834136604865003,12.69952906572589,17.88808405391894,27.504374614139568,99.11703515009485,0.9911703515009485
Ohio,5.75,27.186864351088552,1.7625484279029584,3.0388048522269617,16.76403756212788,32.816851349046864,83.4084290561883,0.8340842905618829
Oklahoma,4.5,22.218025927428016,1.158479106104191,1.9229838954948923,15.224427828792207,30.610592594341227,72.27298635396674,0.7227298635396674
Oregon,0.0,19.090115526281917,5.233564908098373,4.835011280173577,16.99600456388597,33.935276173341606,80.08997245178145,0.8008997245178144
Pennsylvania,6.0,34.45885380729388,1.2873767139862533,6.177784368770817,22.19172278169284,47.36021756709782,113.99139613224466,1.1399139613224465
Rhode Island,7.0,46.86900072308537,1.968480477367332,4.707189876883595,45.29422026622752,73.47644560996345,176.0634639289408,1.7606346392894079
South Carolina,6.0,42.99074428872896,2.7316568301895554,5.479831666539576,11.27095363768907,29.466687118836862,95.01200750911153,0.9501200750911153
South Dakota,4.2,29.655113042035627,6.420130923908979,10.917419127400255,15.965060592223052,27.567762646972483,92.49917818246088,0.9249917818246088
Tennessee,7.0,37.569633822123514,1.9549879180700451,4.3941721558455304,11.408419111772469,20.52019583916129,78.9217244196956,0.7892172441969559
Texas,6.25,28.537620962446397,1.4652401980045018,2.4256845524747668,21.142282720877425,18.668075566632538,74.26568810749349,0.7426568810749349
Utah,6.1,28.627531758810377,7.341297436851187,11.889899850565788,16.078841299556878,31.5710954841426,98.42804830174668,0.9842804830174668
Vermont,6.0,47.19562553163526,1.9837369376345926,4.742854925936022,45.61534571805217,74.024863609476,176.79775976644638,1.7679775976644638
Virginia,5.3,43.1647007580407,2.9113266635449033,5.243240884725402,10.616811086318382,27.237694641918246,91.89369525478212,0.9189369525478212
Washington,6.5,19.090126150280287,5.233574191816557,4.834991111712301,16.99607,33.93541,81.98548639830673,0.8198548639830673
West Virginia,6.0,27.208460220297127,2.347430916185646,3.9782916266422728,16.77561965893948,32.84037072920092,85.16222411705294,0.8516222411705294
Wisconsin,5.0,31.01013177589196,3.090136631288542,6.285947067379292,19.4784483970125,28.3174005969633,90.20137524226358,0.9020137524226358
Wyoming,4.0,27.280431436921354,13.011703159846084,19.75244346476349,15.243660477378649,31.62106736090499,109.31108902227581,1.093110890222758
District of Columbia,6.0,33.00003119551511,9.425897895356373,14.63360267429744,21.264532224968796,46.126902128093896,127.87453802414177,1.2787453802414177
