Region,Deregulation Share (%),Cost-of-Service Share (%),Cost of Service [mills/kWh],Competitive Retail [mills/kWh],Combined Price [mills/kWh]
NY_Z_C&E,100.0,0.0,114.22583380892192,188.2352492604274,188.2352492604274
NY_Z_F,100.0,0.0,112.85309392325615,188.23563308476872,188.23563308476872
NY_Z_G-I,100.0,0.0,112.28738216738623,188.2376782941222,188.2376782941222
NY_Z_J,100.0,0.0,269.33111398444004,223.64707835694,223.64707835694
NY_Z_K,100.0,0.0,246.4824894606655,223.64707835694,223.64707835694
NY_Z_A,100.0,0.0,114.22578740775728,188.23518142960552,188.23518142960552
NY_Z_B,100.0,0.0,110.05251085591695,188.23518142960552,188.23518142960552
NY_Z_D,100.0,0.0,115.37381487448042,188.23535177879705,188.23535177879705
PJM_WMAC,100.0,0.0,118.2364885231432,163.89510363206122,163.89510363206122
PJM_EMAC,100.0,0.0,124.52787814572689,163.96733234559255,163.96733234559255
PJM_SMAC,100.0,0.0,142.21349637366203,163.89479214475898,163.89479214475898
PJM_PENE,100.0,0.0,118.64643981208553,163.89388219824707,163.89388219824707
FRCC,0.0,100.0,100.53969441416338,89.5948186187469,100.53969441416338
MIS_WOTA,0.0,100.0,80.26442320198007,93.22547255654864,80.26442320198007
MIS_AMSO,0.0,100.0,82.7946252693729,92.59408374504972,82.7946252693729
MIS_AR,0.0,100.0,82.60286875765958,93.79264314269896,82.60286875765958
MIS_D_MS,0.0,100.0,83.71130048411942,93.79189652073279,83.71130048411942
MIS_LA,0.0,100.0,81.42934349264695,92.59413087950439,81.42934349264695
PJM_Dom,0.0,100.0,93.86206694679896,86.8137367257005,93.86206694679896
S_VACA,0.0,100.0,94.66726395583741,86.77236828341638,94.66726395583741
S_C_KY,0.0,100.0,79.86891013543976,75.95408639094525,79.86891013543976
S_D_AECI,0.0,100.0,92.12587177994034,85.4623158617622,92.12587177994034
S_C_TVA,0.0,100.0,78.65463872392948,76.1331022771847,78.65463872392948
S_SOU,0.0,100.0,97.57710269233701,90.92917820573014,97.57710269233701
SPP_N,0.0,100.0,100.7906717641954,98.23785766223688,100.7906717641954
SPP_WEST,0.0,100.0,72.47978650256542,93.21108186153454,72.47978650256542
SPP_SPS,0.0,100.0,75.20280648977248,93.29698771162656,75.20280648977248
WECC_CO,0.0,100.0,93.75538162545082,88.58614662975788,93.75538162545082
ERC_REST,88.0,12.0,72.9666431565519,78.35410660623741,77.70761099227515
ERC_WEST,88.0,12.0,76.43457149495083,78.3539746851327,78.12364630231087
ERC_PHDL,88.0,12.0,86.21914084288233,78.35412221968886,79.29792445447208
MIS_MAPP,1.0,99.0,103.39070857444355,87.55299048902384,103.23233139358936
MIS_IL,9.0,91.0,88.50305130195252,86.29945869979461,88.30472796775831
MIS_INKY,59.0,41.0,85.877214556151,86.69628528249746,86.3604662846954
MIS_IA,1.0,99.0,93.0095689858241,88.14869381210475,92.9609602340869
MIS_MIDA,1.0,99.0,98.96042234373611,88.1363583474353,98.8521817037731
MIS_LMI,10.0,90.0,109.84721030785242,99.47523922475587,108.81001319954277
MIS_MO,9.0,91.0,101.60592770498114,85.4706463068927,100.15375237915319
MIS_WUMS,59.0,41.0,90.73120474568444,87.7770089800338,88.98822924395056
MIS_MNWI,1.0,99.0,87.74381281971756,88.38158098109682,87.75019050133136
NENG_CT,95.0,5.0,180.26273710902188,274.37466183899863,269.66906560249976
NENGREST,95.0,5.0,176.2998542437851,273.89832039983287,269.0183970920305
NENG_ME,95.0,5.0,212.5231482173212,274.37377499627246,271.2812436573249
PJM_West,59.0,41.0,82.51767160845566,91.1797223961676,87.6282815732057
PJM_AP,59.0,41.0,87.9753133239974,91.31992137432499,89.94863207369067
PJM_COMD,59.0,41.0,92.73983962092807,87.55313428849114,89.67968347479027
PJM_ATSI,59.0,41.0,84.49833657836314,91.35253901339286,88.54231601503068
SPP_NEBR,1.0,99.0,124.33976873689163,74.75442764552085,123.84391532597792
SPP_WAUE,1.0,99.0,88.98417078424585,74.27826567834958,88.83711173318687
WEC_CALN,10.0,90.0,125.71711455305069,131.75042132440043,126.32044523018567
WEC_LADW,10.0,90.0,142.67330657367592,142.91942174989316,142.69791809129765
WECC_SDGE,10.0,90.0,140.31677139930486,142.91942174989316,140.5770364343637
WECC_SCE,10.0,90.0,139.85800082414593,142.91942122116248,140.1641428638476
WECC_MT,3.0,97.0,95.45542441122686,91.0682657390272,95.32380965106087
WEC_BANC,10.0,90.0,127.61487964549602,131.75042132440043,128.02843381338647
WECC_ID,3.0,97.0,96.93616777084563,91.62847993067139,96.7769371356404
WECC_NNV,3.0,97.0,88.78176803175403,92.04330874963809,88.87961425329055
WECC_SNV,2.0,98.0,105.48623301854744,92.04355116392897,105.21737938145507
WECC_UT,3.0,97.0,98.38175108770339,91.62869951816364,98.17915954061719
WECC_PNW,3.0,97.0,81.42058487226929,92.89856438650699,81.76492425769642
WECC_WY,3.0,97.0,109.33795724550716,88.96169325016177,108.7266693256468
WECC_AZ,2.0,98.0,93.46017733742903,101.12630982289724,93.6134999871384
WECC_NM,2.0,98.0,93.68657978031938,100.85064680437384,93.82986112080047
WECC_IID,2.0,98.0,105.60990715575589,101.52899326921542,105.52828887802508
