State,Combined Price [mills/kWh],Average Retail Price (cents/kWh),Average Retail Price (mills/kWh),% change from current model
Alabama,93.09897494929183,11.47,114.7,23.20221577356098
Arizona,93.60340817854191,12.19,121.89999999999999,30.230300767985202
Arkansas,78.53994080284573,9.73,97.30000000000001,23.886011378906645
California,134.8694797593036,24.87,248.70000000000002,84.40050368982321
Colorado,93.7540078113726,11.76,117.6,25.434637670747996
Connecticut,267.54826383353407,24.24,242.39999999999998,-9.399524210398575
Delaware,159.39161389433605,12.85,128.5,-19.380953074993474
District of Columbia,147.25240856222595,16.5,165.0,12.052496533714944
Florida,100.3805689312896,13.53,135.29999999999998,34.78704239324714
Georgia,96.75137063589739,11.06,110.60000000000001,14.313626022125215
Idaho,93.9040383445804,9.08,90.8,-3.305542976959254
Illinois,89.37087409477186,11.75,117.5,31.474600858663493
Indiana,86.61109600682208,11.49,114.9,32.661985931859924
Iowa,96.62879719994568,9.42,94.2,-2.513533512085404
Kansas,100.8092305957317,10.8,108.0,7.133046608702869
Kentucky,82.58515420702565,9.96,99.60000000000001,20.6027898795482
Louisiana,81.18339822560137,8.91,89.1,9.751503321404586
Maine,270.90865174855094,20.84,208.4,-23.073700801024817
Maryland,154.91237244647255,14.34,143.4,-7.431538401137361
Massachusetts,269.02045768371596,23.21,232.10000000000002,-13.724033481172226
Michigan,107.61223602744111,13.68,136.8,27.123090319502346
Minnesota,87.7995975339996,12.21,122.10000000000001,39.066696692678896
Mississippi,83.7792469884401,10.95,109.5,30.700625675364297
Missouri,99.08967647378353,10.87,108.69999999999999,9.698612275476643
Montana,95.69244261305631,10.97,109.7,14.638102032346378
Nebraska,123.78979020567083,9.14,91.4,-26.165154777188597
Nevada,100.92670179615044,13.09,130.9,29.69808551198768
New Hampshire,268.7583546386773,22.96,229.60000000000002,-14.570097622201308
New Jersey,158.15123457452836,15.27,152.7,-3.4468492068327743
New Mexico,91.43268456737547,9.47,94.7,3.5734654933126118
New York,192.0323473507993,18.28,182.8,-4.80770426345615
North Carolina,94.23317014883467,10.61,106.1,12.593049594344006
North Dakota,98.69174178248429,8.03,80.3,-18.63554280257767
Ohio,88.01786639038077,11.04,110.39999999999999,25.42907994423425
Oklahoma,72.50161042908144,9.3,93.0,28.27301276427422
Oregon,81.76472503075534,10.32,103.2,26.215797779766152
Pennsylvania,148.00970007556194,12.57,125.7,-15.073133763646831
Rhode Island,267.03140359205116,21.62,216.20000000000002,-19.035739957277546
South Carolina,94.66708707345721,10.5,105.0,10.91500039345769
South Dakota,92.59076020034188,10.49,104.9,13.29424207450527
Tennessee,78.6840171844363,10.69,106.89999999999999,35.85986560577491
Texas,78.1990151948005,10.04,100.39999999999999,28.390363676441353
Utah,98.17765129883391,9.03,90.3,-8.02387426732776
Vermont,268.9837676075101,17.53,175.3,-34.82878109738189
Virginia,92.67220112537107,10.68,106.8,15.244915630649809
Washington,81.76492425769642,9.58,95.8,17.165154703830687
West Virginia,88.72740424815396,10.26,102.6,15.635074495188633
Wisconsin,88.81232501083123,12.72,127.2,43.223364532442034
Wyoming,108.70549779683891,8.39,83.9,-22.818991035024023
